"id","sector_id","name","name_normalized","distance_meters","implement_weight_grams","hurdle_height_meters","is_relay","is_combined","has_obstacles","created_at","updated_at"
1,1,Decatlón,decatlon,,,,0,1,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
2,1,Heptatlón,heptatlon,,,,0,1,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
3,1,Hexatlón,hexatlon,,,,0,1,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
4,1,Octatlón,octatlon,,,,0,1,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
5,1,Pentatlón,pentatlon,,,,0,1,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
6,4,"10000m","10000m",10000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
7,2,"1500 Obts","1500obts",,,,0,0,1,"2026-05-28 12:04:25","2026-05-28 12:04:25"
8,2,"3000 Obts","3000obts",,,,0,0,1,"2026-05-28 12:04:25","2026-05-28 12:04:25"
9,4,"3000m","3.000m",3000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:27:23"
10,4,"5000m","5.000m",5000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:27:23"
11,3,"Disco (1,5kg)","Disco (1,5kg)",,1500,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:23:02"
12,3,"Disco (1,750kg)","Disco (1,750kg)",,1750,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:23:02"
13,3,Disco (1kg),Disco (1kg),,1000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:23:02"
14,3,Disco (2kg),Disco (2kg),,2000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:23:02"
15,3,Disco (800g),Disco (800g),,800,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:23:02"
16,3,Jabalina (400g),Jabalina (400g),,400,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
17,3,Jabalina (500g),Jabalina (500g),,500,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
18,3,Jabalina (600g),Jabalina (600g),,600,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
19,3,Jabalina (700g),Jabalina (700g),,700,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
20,3,Jabalina (800g),Jabalina (800g),,800,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
21,3,Martillo (3kg),Martillo (3kg),,3000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
22,3,Martillo (4kg),Martillo (4kg),,4000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
23,3,Martillo (5kg),Martillo (5kg),,5000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
24,3,Martillo (6kg),Martillo (6kg),,6000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:36"
25,3,"Martillo (7,260kg)","Martillo (7,260kg)",,7260,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:27:59"
26,3,Peso (2kg),Peso (2kg),,2000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:53"
27,3,Peso (3kg),Peso (3kg),,3000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:54"
28,3,Peso (4kg),Peso (4kg),,4000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:54"
29,3,Peso (5kg),Peso (5kg),,5000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:54"
30,3,Peso (6kg),Peso (6kg),,6000,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:21:54"
31,3,"Peso (7,260kg)","Peso (7,260kg)",,7260,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:28:17"
32,3,Vórtex,vortex,,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
34,5,"1000m","1.000m",1000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:28:17"
35,4,"20000m","20.000m",20000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:28:17"
36,4,"2000m","2.000m",2000.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:27:23"
38,4,"35km/50km","35km/50km",,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
41,5,"1500m","1.500m",1500.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 13:27:23"
42,5,"500m","500m",500.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
43,5,"600m","600m",600.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
44,5,"800m","800m",800.000,,,0,0,0,"2026-05-28 12:04:25","2026-05-28 12:04:25"
45,6,"4x100m","4x100m",,,,1,0,0,"2026-05-28 12:04:25","2026-05-28 13:29:24"
46,6,"4x300m","4x300m",,,,1,0,0,"2026-05-28 12:04:25","2026-05-28 13:29:24"
47,6,"4x400m","4x400m",,,,1,0,0,"2026-05-28 12:04:26","2026-05-28 13:29:24"
48,6,"4x50m","4x50m",,,,1,0,0,"2026-05-28 12:04:26","2026-05-28 13:29:24"
49,6,"4x60m","4x60m",,,,1,0,0,"2026-05-28 12:04:26","2026-05-28 13:29:24"
50,6,"4x80m","4x80m",,,,1,0,0,"2026-05-28 12:04:26","2026-05-28 13:29:24"
51,6,"5x80m","5x80m",,,,1,0,0,"2026-05-28 12:04:26","2026-05-28 13:29:24"
52,7,Altura,altura,,,,0,0,0,"2026-05-28 12:04:26","2026-05-28 12:04:26"
53,7,Longitud,longitud,,,,0,0,0,"2026-05-28 12:04:26","2026-05-28 12:04:26"
54,7,Pértiga,pertiga,,,,0,0,0,"2026-05-28 12:04:26","2026-05-28 12:04:26"
55,7,Triple Salto,Triple Salto,,,,0,0,0,"2026-05-28 12:04:26","2026-05-28 14:05:49"
56,8,"100mv (0,762)","100m Vallas (0,762)",100.000,,0.762,0,0,0,"2026-05-28 12:04:26","2026-05-28 12:08:28"
57,8,"100mv (0,84)","100m Vallas (0,84)",100.000,,0.840,0,0,0,"2026-05-28 12:04:26","2026-05-28 12:08:29"
